标题,价格,店铺,链接,点击
零刻SER6 Pro VEST 版本 高性能AMD锐龙7 8核16线程 7735HS游戏办公迷你主机 准系统(无内存硬盘系统),2398.00,零刻电脑办公旗舰店,https://item.jd.com/10066647396258.html,searchlog(1, '10066647396258','0','3','','flagsClk=419545');
零刻SER6 Pro VEST 版本 高性能AMD锐龙7 8核16线程 7735HS游戏办公迷你主机 准系统(无内存硬盘系统),2398.00,零刻电脑办公旗舰店,https://item.jd.com/10066647396258.html,searchlog(1, '10066647396258','0','3','','flagsClk=419545');
联想(Lenovo)拯救者刃7000K 2023游戏电脑主机(13代i5-13400F RTX3060 12GB显卡16G DDR5 512G SSD ARGB侧透),7499.00,联想京东自营旗舰店,https://item.jd.com/100051096087.html,searchlog(1, '100051096087','1','3','','flagsClk=2307289');
联想(Lenovo)拯救者刃7000K 2023游戏电脑主机(13代i5-13400F RTX3060 12GB显卡16G DDR5 512G SSD ARGB侧透),7499.00,联想京东自营旗舰店,https://item.jd.com/100051096087.html,searchlog(1, '100051096087','1','3','','flagsClk=2307289');
联想(Lenovo)拯救者刃7000K 2023游戏电脑主机(13代i7-13700KF RTX4070Ti 12GB显卡 16G DDR5 1TB SSD ),13999.00,联想京东自营旗舰店,https://item.jd.com/100042898422.html,searchlog(1, '100042898422','2','3','','flagsClk=2307289');
联想(Lenovo)拯救者刃7000K 2023游戏电脑主机(13代i7-13700KF RTX4070Ti 12GB显卡 16G DDR5 1TB SSD ),13999.00,联想京东自营旗舰店,https://item.jd.com/100042898422.html,searchlog(1, '100042898422','2','3','','flagsClk=2307289');
联想(Lenovo)天逸510S英特尔酷睿i5商务台式机电脑整机(13代i5-13400 16G 1TB HDD+512G SSD win11)23英寸,4499.00,联想京东自营旗舰店,https://item.jd.com/100041351132.html,searchlog(1, '100041351132','3','3','','flagsClk=2307289');
联想(Lenovo)天逸510S英特尔酷睿i5商务台式机电脑整机(13代i5-13400 16G 1TB HDD+512G SSD win11)23英寸,4499.00,联想京东自营旗舰店,https://item.jd.com/100041351132.html,searchlog(1, '100041351132','3','3','','flagsClk=2307289');
联想(Lenovo)GeekPro 2022设计师游戏台式电脑主机(12代i5-12400F GTX1650super  16G 512G SSD ),4999.00,联想京东自营旗舰店,https://item.jd.com/100018670771.html,searchlog(1, '100018670771','4','3','','flagsClk=2097574');
联想(Lenovo)GeekPro 2022设计师游戏台式电脑主机(12代i5-12400F GTX1650super  16G 512G SSD ),4999.00,联想京东自营旗舰店,https://item.jd.com/100018670771.html,searchlog(1, '100018670771','4','3','','flagsClk=2097574');
零刻SER6 Pro VEST 版本 高性能AMD锐龙7 8核16线程 7735HS游戏办公迷你主机 32G/500G,3398.00,零刻电脑办公旗舰店,https://item.jd.com/10066647396257.html,searchlog(1, '10066647396257','5','3','','flagsClk=2097267');
零刻SER6 Pro VEST 版本 高性能AMD锐龙7 8核16线程 7735HS游戏办公迷你主机 32G/500G,3398.00,零刻电脑办公旗舰店,https://item.jd.com/10066647396257.html,searchlog(1, '10066647396257','5','3','','flagsClk=2097267');
七彩虹（Colorful）iGame sigma M380II赤刃2游戏台式电脑主机（12代i5-12400 16G 500Gnvme RTX3060 8G）,5599.00,

